분야,대제목,한줄소개,사전모집여부,참여대상,소요시간,체험기간,체험시간,
실감미디어,톡톡 튀는 콘텐츠! 실감 팡팡 체험존 (실감미디어 경진대회 우수작품 체험),실감미디어 학생들의 독창성 있는 우수 작품들을 직접 체험,현장접수,초등학생(고학년) 이상,10분,2025-11-26 ~ 2025-11-29,10:00 ~ 17:00,
실감미디어,진짜처럼 짜릿! 햅틱 손맛 체험존 (VR 기반의 햅틱 디바이스 체험),"햅틱 디바이스(슈트와 장갑)를 착용한 후 복싱, 롤러코스터 체험",현장접수,초등학생(고학년) 이상,10분,2025-11-26 ~ 2025-11-29,10:00 ~ 17:00,
그린바이오,Space Green 우주 농부 인증 미션을 위한 탑승을 시작합니다!,"애그테크(Ag-Tech)가 접목된 우주 수직농장부터 스마트 온실, 노지 수확까지 체험하고 우주 농부 인증을 받아보세요.",현장접수,초등학생 이상,25분 내외,2025-11-26 ~ 2025-11-29,10:00 ~ 17:00,
차세대통신,인공위성 통신 체험관,인공위성 발사부터 통신까지! 위성 통신 체험하기!,사전모집&현장접수,초등학생 이상,10~15분,2025-11-26 ~ 2025-11-29,10:00 ~ 17:00,
항공드론,블록코딩을 활용한 드론제어,블록코딩을 활용한 드론 실습 및 체험교육,사전모집&현장접수,초등학생(고학년)이상,90분이내,2025-11-26 ~ 2025-11-29,10:00 ~ 17:30,
항공드론,UAM 조종 시뮬레이터 체험,UAM 조종법 교육 및 시뮬레이터 탑승 조종 체험,사전모집&현장접수,초등학생(고학년)이상,30분이내,2025-11-26 ~ 2025-11-29,10:00 ~ 17:30,
항공드론,드론 장애물 경주 체험,드론 볼을 수동으로 조종하여 다양한 미션을 수행하는 체험 프로그램,현장접수,초등학생(고학년)이상,20분,2025-11-28 ~ 2025-11-29,10:00 ~ 17:30,
사물인터넷,공감 조명: 오늘 너의 색은?,음성으로 기분을 말하면 전구 색상이 변하는 AI 체험,현장접수,제한없음,5분 내외,2025-11-26 ~ 2025-11-29,10:00 ~ 17:00,
미래자동차,AWS DeepRacer 자율주행 체험,"미래자동차 자율주행 AI VS 인간, 운전 대결 승자는??!!",사전모집&현장접수,키 100cm 이상이면 누구나 가능~!,5분,2025-11-26 ~ 2025-11-29,10:00 ~ 17:30,
첨단소재나노융합,손끝에서 펼쳐지는 스트레쳐블 첨단유연소재,"손끝으로 만지고 느끼는 스트레쳐블 첨단유연소재, 고분자 네트워크의 신비로운 변화를 직접 체험해보세요!",사전모집&현장접수,초등학생이상,약 60분 내외,2025-11-26 ~ 2025-11-29,10:00 ~ 17:00,
데이터보안활용융합,"탈출하라, 사이버 보안 위기속 탈출기",주변에 주어진 단서를 조합하여 사이버 위기 속 위험을 탈출하는 방탈출 게임!,현장접수,COSS 참여자 전체(중학생 이상),30분,2025-11-26 ~ 2025-11-29,10:00 ~ 17:00,
지능형로봇,일반인 로봇 교육 프로그램 1(경주로봇 만들기),일반인 로봇 교육 프로그램 1(경주로봇 만들기),사전모집,초등학생 이상,60,2025-11-26 ~ 2025-11-29,11:00 ~ 12:00,
데이터보안활용융합,"스마트홈 캠 해킹, 누군가 지켜보고 있다.",스마트홈 해킹 시연을 통해 사생활 침해의 실체를 확인하세요,현장접수,COSS 참여자 전체(초등학생 이상),10,2025-11-26 ~ 2025-11-29,10:00 ~ 17:00,
데이터보안활용융합,해킹이 부른 의료 사고,"실제 의료기기 해킹 시연을 통해, 사이버 공격이 환자 생명에 미치는 치명적 위험을 직접 확인하세요!",현장접수,COSS 참여자 전체(중학생 이상),10,2025-11-26 ~ 2025-11-29,10:00 ~ 17:00,
데이터보안활용융합,우리의 친절한 로봇의 반란,"해커의 손에 넘어가 멈추고 조작되는 순간, 로봇 해킹의 실체를 직접 체험하세요!",현장접수,COSS 참여자 전체(중학생 이상),15,2025-11-26 ~ 2025-11-29,10:00 ~ 17:00,
데이터보안활용융합,AI가 만든 가짜를 잡아라,"숨은 단서를 찾아, AI가 만든 가짜와 사람의 진짜를 구분하는 재미를 느껴부세요!",사전모집&현장접수,COSS 참여자 전체(초등학생 이상),10,2025-11-26 ~ 2025-11-29,10:00 ~ 17:00,
반도체소부장,반도체를 분해해보자,"반도체를 만드는 장비 내부를 보고, 뜯고, 조립해보는 VR 체험",사전모집&현장접수,누구나 참여 가능,15~30분,2025-11-26 ~ 2025-11-29,10:00 ~ 18:00,
에코업,방탈출 프로그램 '교수님의 수상한 과제',미래 혁신 인재 필수 코스!  '에코업 6대 과제' 속 환경 위기를 직접 해결하는 방탈출 프로그램,사전모집&현장접수,"초, 중, 고 누구나",20분,2025-11-26 ~ 2025-11-29,10:00 ~ 18:00,
에코업,LED로 그리는 탄소중립,탄소배출을 줄이는  나만의 LED 아크릴 조명을 만들어보자!,사전모집&현장접수,초등학생(고학년) 이상,20분,2025-11-26 ~ 2025-11-29,10:00 ~ 18:00,
에코업,우리집 알뜰에너지 연구소,우리집 전기 도둑을 검거해보자! 가전제품 대기전력 측정 프로그램,사전모집&현장접수,누구나 참여 가능,10,2025-11-26 ~ 2025-11-29,10:00 ~ 18:00,
지능형로봇,AI 드로잉 로봇 및 오목 로봇 체험,AI 드로잉 로봇 및 오목 로봇 체험,현장접수,초등학생 이상,20분,2025-11-26 ~ 2025-11-29,10:00 ~ 18:00,
지능형로봇,ROBO SHOW(4족보행 로봇 및 테미 체험),ROBO SHOW(4족보행 로봇 및 테미 체험),현장접수,초등학생 이상,30분,2025-11-26 ~ 2025-11-29,10:00 ~ 18:00,
지능형로봇,일반인 로봇 교육 프로그램2(청소로봇 만들기),일반인 로봇 교육 프로그램 1(청소로봇 만들기),사전모집,초등학생 이상,60,2025-11-26 ~ 2025-11-29,12:00 ~ 13:00,
지능형로봇,일반인 교육 프로그램3(자이로 외발주행 로봇 만들기),일반인 교육 프로그램3(자이로 외발주행 로봇 만들기),사전모집,초등학생 이상,60분,2025-11-26 ~ 2025-11-29,13:00 ~ 14:00,
지능형로봇,일반인 로봇 교육 프로그램4(유선 스파이더로봇 만들기),일반인 로봇 교육 프로그램4(유선 스파이더로봇 만들기),사전모집,초등학생 이상,60,2025-11-26 ~ 2025-11-29,14:00 ~ 15:00,
첨단소재나노융합,﻿첨단소재워터랩:모링가의 비밀,﻿모링가 씨앗의 수질정화 실습을 통해 친환경 첨단소재의 개념을 체험,사전모집,﻿초등학생(고학년)이상,40,2025-11-26 ~ 2025-11-29,10:00 ~ 17:00,
